Datum Zeit; BEN; NO; NO2; PM10; SO2; PM2.5; O3
; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
01-10-16 00:30; 0,0; 0; ; ; ; ; 
01-10-16 01:00; 1,3; 16; 15; 13; 0,0; 0,00; 7
01-10-16 01:30; 0,0; 0; ; ; ; ; 
01-10-16 02:00; 0,6; 9; 13; 13; 0,0; 0,00; 5
01-10-16 02:30; 0,0; 0; ; ; ; ; 
01-10-16 03:00; 1,0; 13; 12; 13; 0,0; 0,00; 3
01-10-16 03:30; 0,0; 0; ; ; ; ; 
01-10-16 04:00; 0,8; 22; 12; 13; 0,0; 0,00; 2
01-10-16 04:30; 0,0; 0; ; ; ; ; 
01-10-16 05:00; 0,9; 16; 14; 13; 0,0; 0,00; 3
01-10-16 05:30; 0,0; 0; ; ; ; ; 
01-10-16 06:00; 0,8; 4; 14; 13; 0,0; 0,00; 2
01-10-16 06:30; 0,0; 0; ; ; ; ; 
01-10-16 07:00; 0,8; 10; 17; 13; 0,0; 0,00; 3
01-10-16 07:30; 0,0; 0; ; ; ; ; 
01-10-16 08:00; 0,5; 15; 21; 13; 0,0; 0,00; 4
01-10-16 08:30; 0,0; 0; ; ; ; ; 
01-10-16 09:00; 0,5; 18; 23; 13; 0,0; 0,00; 9
01-10-16 09:30; 0,0; 0; ; ; ; ; 
01-10-16 10:00; 0,7; 16; 22; 13; 0,0; 0,00; 8
01-10-16 10:30; 0,0; 0; ; ; ; ; 
01-10-16 11:00; 0,9; 15; 26; 13; 0,0; 0,00; 7
01-10-16 11:30; 0,0; 0; ; ; ; ; 
01-10-16 12:00; 1,2; 13; 27; 13; 0,0; 0,00; 8
01-10-16 12:30; 0,0; 0; ; ; ; ; 
01-10-16 13:00; 1,3; 7; 20; 13; 0,0; 0,00; 17
01-10-16 13:30; 0,0; 0; ; ; ; ; 
01-10-16 14:00; 1,4; 9; 22; 13; 0,0; 0,00; 24
01-10-16 14:30; 0,0; 0; ; ; ; ; 
01-10-16 15:00; 1,4; 9; 26; 13; 0,0; 0,00; 24
01-10-16 15:30; 0,0; 0; ; ; ; ; 
01-10-16 16:00; 3,1; 5; 20; 13; 0,0; 0,00; 21
01-10-16 16:30; 0,0; 0; ; ; ; ; 
01-10-16 17:00; 5,3; 9; 29; 13; 0,0; 0,00; 15
01-10-16 17:30; 0,0; 0; ; ; ; ; 
01-10-16 18:00; 3,2; 12; 34; 13; 0,0; 0,00; 30
01-10-16 18:30; 0,0; 0; ; ; ; ; 
01-10-16 19:00; 2,0; 3; 15; 13; 0,0; 0,00; 67
01-10-16 19:30; 0,0; 0; ; ; ; ; 
01-10-16 20:00; 1,9; 6; 20; 13; 0,0; 0,00; 64
01-10-16 20:30; 0,0; 0; ; ; ; ; 
01-10-16 21:00; 2,3; 5; 12; 13; 0,0; 0,00; 55
01-10-16 21:30; 0,0; 0; ; ; ; ; 
01-10-16 22:00; 1,2; 4; 12; 13; 0,0; 0,00; 49
01-10-16 22:30; 0,0; 0; ; ; ; ; 
01-10-16 23:00; ; 3; 12; 13; 0,0; 0,00; 53
01-10-16 23:30; 0,0; 0; ; ; ; ; 
02-10-16 00:00; ; 2; 8; 13; 0,0; 0,00; 51
02-10-16 00:30; 0,0; 0; ; ; ; ; 
02-10-16 01:00; ; 2; 9; 8; 0,0; 0,00; 49
02-10-16 01:30; 0,0; 0; ; ; ; ; 
02-10-16 02:00; ; 3; 12; 8; 0,0; 0,00; 45
02-10-16 02:30; 0,0; 0; ; ; ; ; 
02-10-16 03:00; ; 2; 9; 8; 0,0; 0,00; 39
02-10-16 03:30; 0,0; 0; ; ; ; ; 
02-10-16 04:00; 0,6; 3; 10; 8; 0,0; 0,00; 29
02-10-16 04:30; 0,0; 0; ; ; ; ; 
02-10-16 05:00; 0,5; 6; 14; 8; 0,0; 0,00; 23
02-10-16 05:30; 0,0; 0; ; ; ; ; 
02-10-16 06:00; 0,3; 7; 11; 8; 0,0; 0,00; 24
02-10-16 06:30; 0,0; 0; ; ; ; ; 
02-10-16 07:00; 0,4; 15; 18; 8; 0,0; 0,00; 27
02-10-16 07:30; 0,0; 0; ; ; ; ; 
02-10-16 08:00; 0,4; 14; 20; 8; 0,0; 0,00; 32
02-10-16 08:30; 0,0; 0; ; ; ; ; 
02-10-16 09:00; 0,8; 9; 14; 8; 0,0; 0,00; 43
02-10-16 09:30; 0,0; 0; ; ; ; ; 
02-10-16 10:00; 0,7; 9; 12; 8; 0,0; 0,00; 49
02-10-16 10:30; 0,0; 0; ; ; ; ; 
02-10-16 11:00; 0,7; 8; 13; 8; 0,0; 0,00; 53
02-10-16 11:30; 0,0; 0; ; ; ; ; 
02-10-16 12:00; 0,7; 11; 19; 8; 0,0; 0,00; 60
02-10-16 12:30; 0,0; 0; ; ; ; ; 
02-10-16 13:00; 0,7; 11; 18; 8; 0,0; 0,00; 67
02-10-16 13:30; 0,0; 0; ; ; ; ; 
02-10-16 14:00; 1,1; 8; 15; 8; 0,0; 0,00; 73
02-10-16 14:30; 0,0; 0; ; ; ; ; 
02-10-16 15:00; 1,3; 13; 23; 8; 0,0; 0,00; 73
02-10-16 15:30; 0,0; 0; ; ; ; ; 
02-10-16 16:00; 1,0; 20; 30; 8; 0,0; 0,00; 70
02-10-16 16:30; 0,0; 0; ; ; ; ; 
02-10-16 17:00; 1,1; 17; 26; 8; 0,0; 0,00; 72
02-10-16 17:30; 0,0; 0; ; ; ; ; 
02-10-16 18:00; 1,3; 22; 29; 8; 0,0; 0,00; 66
02-10-16 18:30; 0,0; 0; ; ; ; ; 
02-10-16 19:00; 2,0; 18; 26; 8; 0,0; 0,00; 53
02-10-16 19:30; 0,0; 0; ; ; ; ; 
02-10-16 20:00; 1,7; 18; 24; 8; 0,0; 0,00; 34
02-10-16 20:30; 0,0; 0; ; ; ; ; 
02-10-16 21:00; 2,5; 11; 21; 8; 0,0; 0,00; 32
02-10-16 21:30; 0,0; 0; ; ; ; ; 
02-10-16 22:00; 1,8; 10; 20; 8; 0,0; 0,00; 44
02-10-16 22:30; 0,0; 0; ; ; ; ; 
02-10-16 23:00; 1,3; 9; 12; 8; 0,0; 0,00; 43
02-10-16 23:30; 0,0; 0; ; ; ; ; 
03-10-16 00:00; 1,6; 7; 10; 8; 0,0; 0,00; 39
03-10-16 00:30; 0,0; 0; ; ; ; ; 
03-10-16 01:00; 1,0; 2; 7; 11; 0,0; 0,00; 34
03-10-16 01:30; 0,0; 0; ; ; ; ; 
03-10-16 02:00; 0,5; 1; 4; 11; 0,0; 0,00; 40
03-10-16 02:30; 0,0; 0; ; ; ; ; 
03-10-16 03:00; 0,5; 1; 4; 11; 0,0; 0,00; 39
03-10-16 03:30; 0,0; 0; ; ; ; ; 
03-10-16 04:00; 0,3; 1; 5; 11; 0,0; 0,00; 38
03-10-16 04:30; 0,0; 0; ; ; ; ; 
03-10-16 05:00; 0,3; 3; 6; 11; 0,0; 0,00; 42
03-10-16 05:30; 0,0; 0; ; ; ; ; 
03-10-16 06:00; 0,5; 3; 10; 11; 0,0; 0,00; 42
03-10-16 06:30; 0,0; 0; ; ; ; ; 
03-10-16 07:00; 0,2; 9; 14; 11; 0,0; 0,00; 38
03-10-16 07:30; 0,0; 0; ; ; ; ; 
03-10-16 08:00; 0,3; 6; 12; 11; 0,0; 0,00; 33
03-10-16 08:30; 0,0; 0; ; ; ; ; 
03-10-16 09:00; 0,4; 12; 16; 11; 0,0; 0,00; 37
03-10-16 09:30; 0,0; 0; ; ; ; ; 
03-10-16 10:00; 0,8; 5; 8; 11; 0,0; 0,00; 38
03-10-16 10:30; 0,0; 0; ; ; ; ; 
03-10-16 11:00; 0,6; 3; 5; 11; 0,0; 0,00; 37
03-10-16 11:30; 0,0; 0; ; ; ; ; 
03-10-16 12:00; 0,8; 1; 3; 11; 0,0; 0,00; 31
03-10-16 12:30; 0,0; 0; ; ; ; ; 
03-10-16 13:00; 0,8; 2; 4; 11; 0,0; 0,00; 26
03-10-16 13:30; 0,0; 0; ; ; ; ; 
03-10-16 14:00; 0,8; 3; 5; 11; 0,0; 0,00; 26
03-10-16 14:30; 0,0; 0; ; ; ; ; 
03-10-16 15:00; 0,8; 3; 5; 11; 0,0; 0,00; 27
03-10-16 15:30; 0,0; 0; ; ; ; ; 
03-10-16 16:00; 0,8; 5; 9; 11; 0,0; 0,00; 28
03-10-16 16:30; 0,0; 0; ; ; ; ; 
03-10-16 17:00; 0,9; 7; 14; 11; 0,0; 0,00; 29
03-10-16 17:30; 0,0; 0; ; ; ; ; 
03-10-16 18:00; 0,8; 4; 12; 11; 0,0; 0,00; 31
03-10-16 18:30; 0,0; 0; ; ; ; ; 
03-10-16 19:00; 0,8; 3; 12; 11; 0,0; 0,00; 31
03-10-16 19:30; 0,0; 0; ; ; ; ; 
03-10-16 20:00; 0,8; 3; 9; 11; 0,0; 0,00; 31
03-10-16 20:30; 0,0; 0; ; ; ; ; 
03-10-16 21:00; 0,7; 2; 11; 11; 0,0; 0,00; 30
03-10-16 21:30; 0,0; 0; ; ; ; ; 
03-10-16 22:00; 0,6; 2; 8; 11; 0,0; 0,00; 26
03-10-16 22:30; 0,0; 0; ; ; ; ; 
03-10-16 23:00; 0,7; 1; 7; 11; 0,0; 0,00; 24
03-10-16 23:30; 0,0; 0; ; ; ; ; 
04-10-16 00:00; 0,4; 1; 8; 11; 0,0; 0,00; 23
04-10-16 00:30; 0,0; 0; ; ; ; ; 
04-10-16 01:00; 0,4; 2; 10; 12; 0,0; 0,00; 24
04-10-16 01:30; 0,0; 0; ; ; ; ; 
04-10-16 02:00; 0,3; 2; 9; 12; 0,0; 0,00; 30
04-10-16 02:30; 0,0; 0; ; ; ; ; 
04-10-16 03:00; 0,2; 2; 9; 12; 0,0; 0,00; 39
04-10-16 03:30; 0,0; 0; ; ; ; ; 
04-10-16 04:00; 0,3; 3; 12; 12; 0,0; 0,00; 33
04-10-16 04:30; 0,0; 0; ; ; ; ; 
04-10-16 05:00; 0,3; 7; 14; 12; 0,0; 0,00; 30
04-10-16 05:30; 0,0; 0; ; ; ; ; 
04-10-16 06:00; 0,6; 6; 15; 12; 0,0; 0,00; 34
04-10-16 06:30; 0,0; 0; ; ; ; ; 
04-10-16 07:00; 0,5; 26; 24; 12; 0,0; 0,00; 37
04-10-16 07:30; 0,0; 0; ; ; ; ; 
04-10-16 08:00; 0,5; 34; 26; 12; 0,0; 0,00; 37
04-10-16 08:30; 0,0; 0; ; ; ; ; 
04-10-16 09:00; 0,5; 20; 20; 12; 0,0; 0,00; 42
04-10-16 09:30; 0,0; 0; ; ; ; ; 
04-10-16 10:00; 0,3; 22; 22; 12; 0,0; 0,00; 
04-10-16 10:30; 0,0; 0; ; ; ; ; 
04-10-16 11:00; 0,3; 28; 22; 12; 0,0; 0,00; 53
04-10-16 11:30; 0,0; 0; ; ; ; ; 
04-10-16 12:00; 0,3; 16; 17; 12; 0,0; 0,00; 56
04-10-16 12:30; 0,0; 0; ; ; ; ; 
04-10-16 13:00; 0,2; 22; 17; 12; 0,0; 0,00; 62
04-10-16 13:30; 0,0; 0; ; ; ; ; 
04-10-16 14:00; 0,3; 33; 22; 12; 0,0; 0,00; 64
04-10-16 14:30; 0,0; 0; ; ; ; ; 
04-10-16 15:00; 0,5; 29; 22; 12; 0,0; 0,00; 69
04-10-16 15:30; 0,0; 0; ; ; ; ; 
04-10-16 16:00; 0,4; 30; 23; 12; 0,0; 0,00; 
04-10-16 16:30; 0,0; 0; ; ; ; ; 
04-10-16 17:00; 0,3; 28; 27; 12; 0,0; 0,00; 65
04-10-16 17:30; 0,0; 0; ; ; ; ; 
04-10-16 18:00; 0,6; 43; 44; 12; 0,0; 0,00; 56
04-10-16 18:30; 0,0; 0; ; ; ; ; 
04-10-16 19:00; 0,6; 59; 39; 12; 0,0; 0,00; 48
04-10-16 19:30; 0,0; 0; ; ; ; ; 
04-10-16 20:00; 0,4; 35; 21; 12; 0,0; 0,00; 44
04-10-16 20:30; 0,0; 0; ; ; ; ; 
04-10-16 21:00; 0,3; 32; 15; 12; 0,0; 0,00; 44
04-10-16 21:30; 0,0; 0; ; ; ; ; 
04-10-16 22:00; 0,3; 20; 12; 12; 0,0; 0,00; 46
04-10-16 22:30; 0,0; 0; ; ; ; ; 
04-10-16 23:00; 0,2; 15; 8; 12; 0,0; 0,00; 45
04-10-16 23:30; 0,0; 0; ; ; ; ; 
05-10-16 00:00; 0,1; 10; 10; 12; 0,0; 0,00; 53
05-10-16 00:30; 0,0; 0; ; ; ; ; 
05-10-16 01:00; 0,1; 2; 8; 8; 0,0; 0,00; 51
05-10-16 01:30; 0,0; 0; ; ; ; ; 
05-10-16 02:00; 0,1; 2; 6; 8; 0,0; 0,00; 48
05-10-16 02:30; 0,0; 0; ; ; ; ; 
05-10-16 03:00; 0,1; 1; 5; 8; 0,0; 0,00; 46
05-10-16 03:30; 0,0; 0; ; ; ; ; 
05-10-16 04:00; 0,1; 5; 9; 8; 0,0; 0,00; 40
05-10-16 04:30; 0,0; 0; ; ; ; ; 
05-10-16 05:00; 0,3; 34; 28; 8; 0,0; 0,00; 28
05-10-16 05:30; 0,0; 0; ; ; ; ; 
05-10-16 06:00; 0,7; 64; 34; 8; 0,0; 0,00; 22
05-10-16 06:30; 0,0; 0; ; ; ; ; 
05-10-16 07:00; 1,2; 80; 38; 8; 0,0; 0,00; 10
05-10-16 07:30; 0,0; 0; ; ; ; ; 
05-10-16 08:00; 1,2; 37; 29; 8; 0,0; 0,00; 14
05-10-16 08:30; 0,0; 0; ; ; ; ; 
05-10-16 09:00; 1,2; 30; 28; 8; 0,0; 0,00; 21
05-10-16 09:30; 0,0; 0; ; ; ; ; 
05-10-16 10:00; 0,9; 62; 38; 8; 0,0; 0,00; 37
05-10-16 10:30; 0,0; 0; ; ; ; ; 
05-10-16 11:00; 0,7; 60; 33; 8; 0,0; 0,00; 44
05-10-16 11:30; 0,0; 0; ; ; ; ; 
05-10-16 12:00; 0,6; 37; 23; 8; 0,0; 0,00; 46
05-10-16 12:30; 0,0; 0; ; ; ; ; 
05-10-16 13:00; 0,7; 54; 28; 8; 0,0; 0,00; 47
05-10-16 13:30; 0,0; 0; ; ; ; ; 
05-10-16 14:00; 0,7; 46; 29; 8; 0,0; 0,00; 46
05-10-16 14:30; 0,0; 0; ; ; ; ; 
05-10-16 15:00; 0,9; 18; 16; 8; 0,0; 0,00; 46
05-10-16 15:30; 0,0; 0; ; ; ; ; 
05-10-16 16:00; 1,1; 25; 21; 8; 0,0; 0,00; 45
05-10-16 16:30; 0,0; 0; ; ; ; ; 
05-10-16 17:00; 1,0; 12; 16; 8; 0,0; 0,00; 38
05-10-16 17:30; 0,0; 0; ; ; ; ; 
05-10-16 18:00; 0,8; 8; 15; 8; 0,0; 0,00; 38
05-10-16 18:30; 0,0; 0; ; ; ; ; 
05-10-16 19:00; ; 5; 9; 8; 0,0; 0,00; 43
05-10-16 19:30; 0,0; 0; ; ; ; ; 
05-10-16 20:00; ; 3; 8; 8; 0,0; 0,00; 43
05-10-16 20:30; 0,0; 0; ; ; ; ; 
05-10-16 21:00; ; 2; 6; 8; 0,0; 0,00; 45
05-10-16 21:30; 0,0; 0; ; ; ; ; 
05-10-16 22:00; ; 2; 6; 8; 0,0; 0,00; 46
05-10-16 22:30; 0,0; 0; ; ; ; ; 
05-10-16 23:00; ; 1; 4; 8; 0,0; 0,00; 48
05-10-16 23:30; 0,0; 0; ; ; ; ; 
06-10-16 00:00; 0,1; 1; 4; 8; 0,0; 0,00; 50
06-10-16 00:30; 0,0; 0; ; ; ; ; 
06-10-16 01:00; 0,1; 1; 3; 2; 0,0; 0,00; 48
06-10-16 01:30; 0,0; 0; ; ; ; ; 
06-10-16 02:00; 0,1; 1; 3; 1; 0,0; 0,00; 49
06-10-16 02:30; 0,0; 0; ; ; ; ; 
06-10-16 03:00; 0,1; 1; 3; 0; 0,0; 0,00; 49
06-10-16 03:30; 0,0; 0; ; ; ; ; 
06-10-16 04:00; 0,1; 2; 5; 0; 0,0; 0,00; 45
06-10-16 04:30; 0,0; 0; ; ; ; ; 
06-10-16 05:00; 0,2; 3; 7; 1; 0,0; 0,00; 41
06-10-16 05:30; 0,0; 0; ; ; ; ; 
06-10-16 06:00; 0,2; 9; 11; 1; 0,0; 0,00; 41
06-10-16 06:30; 0,0; 0; ; ; ; ; 
06-10-16 07:00; 0,6; 9; 15; 0; 0,0; 0,00; 37
06-10-16 07:30; 0,0; 0; ; ; ; ; 
06-10-16 08:00; 0,6; 10; 15; 0; 0,0; 0,00; 35
06-10-16 08:30; 0,0; 0; ; ; ; ; 
06-10-16 09:00; 0,8; 12; 18; 1; 0,0; 0,00; 32
06-10-16 09:30; 0,0; 0; ; ; ; ; 
06-10-16 10:00; 0,9; 15; 19; 2; 0,0; 0,00; 25
06-10-16 10:30; 0,0; 0; ; ; ; ; 
06-10-16 11:00; 0,9; 14; 19; 2; 0,0; 0,00; 25
06-10-16 11:30; 0,0; 0; ; ; ; ; 
06-10-16 12:00; 0,7; 17; 20; 3; 0,0; 0,00; 30
06-10-16 12:30; 0,0; 0; ; ; ; ; 
06-10-16 13:00; 0,9; 30; 24; 2; 0,0; 0,00; 27
06-10-16 13:30; 0,0; 0; ; ; ; ; 
06-10-16 14:00; 0,6; 42; 28; 2; 0,0; 0,00; 30
06-10-16 14:30; 0,0; 0; ; ; ; ; 
06-10-16 15:00; 1,1; 26; 24; 4; 0,0; 0,00; 29
06-10-16 15:30; 0,0; 0; ; ; ; ; 
06-10-16 16:00; 0,8; 44; 28; 5; 0,0; 0,00; 29
06-10-16 16:30; 0,0; 0; ; ; ; ; 
06-10-16 17:00; 0,9; 33; 27; 7; 0,0; 0,00; 32
06-10-16 17:30; 0,0; 0; ; ; ; ; 
06-10-16 18:00; 1,2; 20; 21; 3; 0,0; 0,00; 30
06-10-16 18:30; 0,0; 0; ; ; ; ; 
06-10-16 19:00; 0,9; 15; 19; 4; 0,0; 0,00; 30
06-10-16 19:30; 0,0; 0; ; ; ; ; 
06-10-16 20:00; 0,7; 7; 13; 4; 0,0; 0,00; 27
06-10-16 20:30; 0,0; 0; ; ; ; ; 
06-10-16 21:00; 0,9; 6; 10; 4; 0,0; 0,00; 26
06-10-16 21:30; 0,0; 0; ; ; ; ; 
06-10-16 22:00; 0,5; 6; 10; 2; 0,0; 0,00; 25
06-10-16 22:30; 0,0; 0; ; ; ; ; 
06-10-16 23:00; 0,5; 2; 7; 2; 0,0; 0,00; 23
06-10-16 23:30; 0,0; 0; ; ; ; ; 
07-10-16 00:00; 0,4; 1; 5; 1; 0,0; 0,00; 22
07-10-16 00:30; 0,0; 0; ; ; ; ; 
07-10-16 01:00; 0,4; 1; 5; 1; 0,0; 0,00; 17
07-10-16 01:30; 0,0; 0; ; ; ; ; 
07-10-16 02:00; 0,3; 2; 6; 1; 0,0; 0,00; 15
07-10-16 02:30; 0,0; 0; ; ; ; ; 
07-10-16 03:00; 0,3; 3; 8; 2; 0,0; 0,00; 14
07-10-16 03:30; 0,0; 0; ; ; ; ; 
07-10-16 04:00; 0,4; 12; 12; 1; 0,0; 0,00; 11
07-10-16 04:30; 0,0; 0; ; ; ; ; 
07-10-16 05:00; 0,4; 44; 18; 4; 0,0; 0,00; 8
07-10-16 05:30; 0,0; 0; ; ; ; ; 
07-10-16 06:00; 0,5; 104; 29; 4; 0,0; 0,00; 7
07-10-16 06:30; 0,0; 0; ; ; ; ; 
07-10-16 07:00; 0,9; 91; 29; 4; 0,0; 0,00; 4
07-10-16 07:30; 0,0; 0; ; ; ; ; 
07-10-16 08:00; 0,9; 129; 32; 4; 0,0; 0,00; 8
07-10-16 08:30; 0,0; 0; ; ; ; ; 
07-10-16 09:00; 0,8; 84; 28; 6; 0,0; 0,00; 9
07-10-16 09:30; 0,0; 0; ; ; ; ; 
07-10-16 10:00; 0,7; 117; 31; 7; 0,0; 0,00; 13
07-10-16 10:30; 0,0; 0; ; ; ; ; 
07-10-16 11:00; 1,1; 96; 29; 8; 0,0; 0,00; 12
07-10-16 11:30; 0,0; 0; ; ; ; ; 
07-10-16 12:00; 0,6; 90; 28; 8; 0,0; 0,00; 16
07-10-16 12:30; 0,0; 0; ; ; ; ; 
07-10-16 13:00; 0,8; 90; 27; 7; 0,0; 0,00; 17
07-10-16 13:30; 0,0; 0; ; ; ; ; 
07-10-16 14:00; 1,2; 111; 27; 7; 0,0; 0,00; 17
07-10-16 14:30; 0,0; 0; ; ; ; ; 
07-10-16 15:00; 1,8; 72; 26; 7; 0,0; 0,00; 19
07-10-16 15:30; 0,0; 0; ; ; ; ; 
07-10-16 16:00; 0,7; 28; 17; 8; 0,0; 0,00; 20
07-10-16 16:30; 0,0; 0; ; ; ; ; 
07-10-16 17:00; 1,7; 36; 21; 8; 0,0; 0,00; 20
07-10-16 17:30; 0,0; 0; ; ; ; ; 
07-10-16 18:00; 2,2; 39; 26; 11; 0,0; 0,00; 14
07-10-16 18:30; 0,0; 0; ; ; ; ; 
07-10-16 19:00; 1,1; 15; 21; 8; 0,0; 0,00; 8
07-10-16 19:30; 0,0; 0; ; ; ; ; 
07-10-16 20:00; 0,9; 14; 17; 8; 0,0; 0,00; 3
07-10-16 20:30; 0,0; 0; ; ; ; ; 
07-10-16 21:00; 2,1; 24; 14; 8; 0,0; 0,00; 2
07-10-16 21:30; 0,0; 0; ; ; ; ; 
07-10-16 22:00; 1,6; 32; 14; 6; 0,0; 0,00; 2
07-10-16 22:30; 0,0; 0; ; ; ; ; 
07-10-16 23:00; 0,9; 17; 12; 8; 0,0; 0,00; 11
07-10-16 23:30; 0,0; 0; ; ; ; ; 
